iter	RMSE
0	1.3278355
1	1.308567034
2	1.292028548
3	1.277505817
4	1.264672619
5	1.253394888
6	1.243872093
7	1.234940959
8	1.227010696
9	1.22014142
10	1.21430764
11	1.209095283
12	1.204472587
13	1.200262023
14	1.196868912
15	1.194085005
16	1.191430309
17	1.188930505
18	1.1866114
19	1.184639085
20	1.182925246
21	1.181423968
22	1.180068718
23	1.178885207
24	1.177544999
25	1.176407911
26	1.175510782
27	1.17472966
28	1.173870157
29	1.173256083
30	1.172605124
31	1.172185033
32	1.171591182
33	1.171110827
34	1.170514511
35	1.170044772
36	1.16969397
37	1.169207216
38	1.168801392
39	1.168534577
40	1.168229747
41	1.16778465
42	1.167486072
43	1.167113486
44	1.166738097
45	1.16634785
46	1.166068551
47	1.165764302
48	1.165544465
49	1.165327448
50	1.16506335
51	1.164886136
52	1.164636629
53	1.164378747
54	1.164063478
55	1.163787768
56	1.163575326
57	1.163296296
58	1.162942031
59	1.162776676
60	1.162554915
61	1.162269817
62	1.162006891
63	1.161765477
64	1.161566541
65	1.161342619
66	1.161270153
67	1.161040101
68	1.160852148
69	1.160695298
70	1.160563693
71	1.160378167
72	1.160170263
73	1.159935966
74	1.159812244
75	1.159573648
76	1.159472604
77	1.159347788
78	1.159130345
79	1.158967806
80	1.158839413
81	1.158756694
82	1.158507631
83	1.158235468
84	1.157956534
85	1.15779677
86	1.157700773
87	1.157546554
88	1.157311853
89	1.157041601
90	1.156887074
91	1.156808049
92	1.156600506
93	1.156516443
94	1.156334507
95	1.15617079
96	1.156013905
97	1.155795482
98	1.155595382
99	1.155437711
100	1.155317563
101	1.155189408
102	1.155062219
103	1.154910471
104	1.154774904
105	1.154606079
106	1.154508408
107	1.154244411
108	1.153967339
109	1.153812785
110	1.153663062
111	1.15339846
112	1.153193591
113	1.152910927
114	1.152736123
115	1.152479827
116	1.152341903
117	1.152247761
118	1.152091288
119	1.151936043
120	1.151807404
121	1.151649035
122	1.15158631
123	1.151422206
124	1.151324278
125	1.15112911
126	1.150955029
127	1.150800978
128	1.150553988
129	1.150437546
130	1.150213629
131	1.149992886
132	1.149869908
133	1.149780882
134	1.14955059
135	1.149397643
136	1.149248128
137	1.148978806
138	1.148687435
139	1.148423728
140	1.148244277
141	1.148009667
142	1.147787724
143	1.147727162
144	1.147605176
145	1.147460415
146	1.147301562
147	1.147109251
148	1.146907905
149	1.146719737
150	1.146607685
151	1.146406079
152	1.146211507
153	1.145957706
154	1.145737094
155	1.145514613
156	1.145384996
157	1.145197241
158	1.144985362
159	1.144776794
160	1.144702537
161	1.144530017
162	1.144412674
163	1.144223479
164	1.14411159
165	1.143986266
166	1.143867707
167	1.143617226
168	1.143337325
169	1.143084495
170	1.142889872
171	1.142710336
172	1.142545989
173	1.142324406
174	1.14220312
175	1.141976286
176	1.14182634
177	1.141640028
178	1.141520658
179	1.141314624
180	1.141125084
181	1.140884548
182	1.140725325
183	1.140561011
184	1.140384284
185	1.140151549
186	1.139945965
187	1.139764764
188	1.139614661
189	1.139511669
190	1.139367137
191	1.139219883
192	1.139013971
193	1.13889352
194	1.138686552
195	1.13852632
196	1.138374288
197	1.138206454
198	1.137932525
199	1.137694587
200	1.137544002
201	1.137383392
202	1.137201083
203	1.137056594
204	1.136838007
205	1.136832294
206	1.136613754
207	1.136437671
208	1.136283368
209	1.136073984
210	1.135874573
211	1.135664739
212	1.135472886
213	1.135387632
214	1.135253082
215	1.135125365
216	1.134909995
217	1.134686126
218	1.134419978
219	1.134199253
220	1.134046412
221	1.133858919
222	1.133850621
223	1.133645521
224	1.133543144
225	1.133351273
226	1.133167741
227	1.133028302
228	1.132908853
229	1.132730427
230	1.132558548
231	1.13246255
232	1.13245712
233	1.132348891
234	1.132140376
235	1.131976793
236	1.131880197
237	1.131874472
238	1.131667715
239	1.13148649
240	1.131283469
241	1.131084357
242	1.130887173
243	1.130712309
244	1.13051557
245	1.130392524
246	1.130154781
247	1.130149683
248	1.129993113
249	1.129849396
250	1.12961169
251	1.129436065
252	1.129326242
253	1.129184726
254	1.128991406
255	1.128799966
256	1.128631771
257	1.128463152
258	1.128457943
259	1.12832823
260	1.128194459
261	1.128016209
262	1.127848287
263	1.127684969
264	1.127432237
265	1.127276825
266	1.127105183
267	1.126896604
268	1.126769826
269	1.126582958
270	1.12651002
271	1.126307313
272	1.126301418
273	1.126111682
274	1.12598001
275	1.125785833
276	1.125582814
277	1.125414454
278	1.125267226
279	1.125116272
280	1.124950934
281	1.124718339
282	1.124546922
283	1.124344954
284	1.124146296
285	1.123996577
286	1.123803688
287	1.123605809
288	1.123442556
289	1.123309041
290	1.123195679
291	1.123038195
292	1.12290944
293	1.122820144
294	1.122645544
295	1.1224903
296	1.122339544
297	1.122336956
298	1.122169858
299	1.12198011
300	1.121811925
301	1.121735175
302	1.121529799
303	1.121344568
304	1.121245796
305	1.121242042
306	1.121072406
307	1.120890241
308	1.120741817
309	1.120567688
310	1.12040998
311	1.120319462
312	1.120130664
313	1.120018923
314	1.119859247
315	1.119711942
316	1.119546712
317	1.119389723
318	1.119225895
319	1.118975238
320	1.118712268
321	1.118598413
322	1.118493194
323	1.118405568
324	1.118294524
325	1.118122482
326	1.117959674
327	1.117759938
328	1.117555693
329	1.117368654
330	1.117261008
331	1.117064777
332	1.116876552
333	1.116721146
334	1.116654541
335	1.116556899
336	1.11638484
337	1.116240258
338	1.116153533
339	1.116037535
340	1.115807777
341	1.115642496
342	1.115563947
343	1.11536842
344	1.115230718
345	1.115106816
346	1.115102535
347	1.114942589
348	1.114766529
349	1.114586694
350	1.114509832
351	1.114353869
352	1.11414097
353	1.11399501
354	1.113848679
355	1.113779667
356	1.113625321
357	1.113486674
358	1.113370986
359	1.113251957
360	1.113097103
361	1.11291914
362	1.112751451
363	1.112612901
364	1.11238095
365	1.112209819
366	1.112007345
367	1.111854569
368	1.111743883
369	1.111578101
370	1.111487439
371	1.111372571
372	1.111251722
373	1.111036813
374	1.11088941
375	1.110766599
376	1.110656915
377	1.110460964
378	1.110345825
379	1.11012875
380	1.109952793
381	1.109850928
382	1.109756452
383	1.109638438
384	1.109528583
385	1.109359223
386	1.109214566
387	1.109026233
388	1.108909712
389	1.108739176
390	1.108654828
391	1.108498778
392	1.10832248
393	1.108188512
394	1.10805723
395	1.107860171
396	1.107711434
397	1.107562349
398	1.107427715
399	1.107289519
400	1.107063359
401	1.106832338
402	1.106683389
403	1.106523167
404	1.106366675
405	1.106228706
406	1.106053694
407	1.105908814
408	1.105693286
409	1.105600724
410	1.105451234
411	1.105260473
412	1.105114138
413	1.104964903
414	1.104857624
415	1.104729625
416	1.104618356
417	1.104516724
418	1.104369593
419	1.104231136
420	1.104067064
421	1.10395009
422	1.103753979
423	1.103632901
424	1.103503325
425	1.103407189
426	1.103405002
427	1.103239683
428	1.103082567
429	1.10292164
430	1.102761459
431	1.102746057
432	1.102581972
433	1.102447395
434	1.102322982
435	1.102207227
436	1.102089151
437	1.101952812
438	1.101822422
439	1.101676864
440	1.101500005
441	1.101497938
442	1.101364106
443	1.101200314
444	1.101058538
445	1.100898696
446	1.10074499
447	1.100623182
448	1.100532359
449	1.1003811
450	1.100237459
451	1.10011142
452	1.099997851
453	1.099853847
454	1.099705282
455	1.099621191
456	1.099577529
457	1.099453948
458	1.099328316
459	1.099177323
460	1.098974063
461	1.098971262
462	1.098826189
463	1.098649193
464	1.098517783
465	1.098430287
466	1.098297054
467	1.098161021
468	1.097992013
469	1.097908314
470	1.097765661
471	1.097587286
472	1.097419711
473	1.09741776
474	1.097313465
475	1.097215938
476	1.097082202
477	1.096933169
478	1.096805596
479	1.096618753
480	1.096434394
481	1.096349798
482	1.096207524
483	1.096055018
484	1.095902593
485	1.095731556
486	1.09560138
487	1.095447908
488	1.095345736
489	1.095234626
490	1.095065078
491	1.094916955
492	1.094785295
493	1.094643068
494	1.094500258
495	1.094444828
496	1.094287692
497	1.094125822
498	1.093989651
499	1.093816586
500	1.093649431
501	1.093502174
502	1.093359787
503	1.093244533
504	1.093101626
505	1.092973962
506	1.092845565
507	1.092744258
508	1.092638182
509	1.092488999
510	1.09236991
511	1.092278339
512	1.092157807
513	1.092015988
514	1.091941613
515	1.091796463
516	1.091695484
517	1.091582985
518	1.091457863
519	1.091312264
520	1.091134831
521	1.090869955
522	1.090760893
523	1.090590753
524	1.090446374
525	1.090294095
526	1.090141932
527	1.09001315
528	1.08988374
529	1.089789767
530	1.089646799
531	1.089537644
532	1.089395721
533	1.08926532
534	1.089134676
