iter	Passed	Remaining
0	10	10395
1	20	10198
2	30	10080
3	40	10200
4	52	10399
5	62	10353
6	72	10232
7	83	10297
8	92	10207
9	106	10546
10	114	10261
11	123	10182
12	133	10105
13	141	9980
14	150	9874
15	160	9850
16	168	9748
17	177	9685
18	186	9645
19	195	9569
20	205	9595
21	216	9622
22	226	9613
23	239	9752
24	249	9721
25	258	9670
26	266	9597
27	273	9511
28	282	9445
29	290	9378
30	298	9328
31	305	9237
32	313	9181
33	321	9137
34	329	9073
35	336	9017
36	344	8970
37	356	9019
38	364	8982
39	372	8928
40	379	8870
41	386	8812
42	394	8780
43	402	8735
44	410	8708
45	418	8670
46	427	8663
47	438	8696
48	447	8686
49	455	8650
50	461	8596
51	471	8589
52	478	8546
53	487	8545
54	496	8527
55	503	8490
56	511	8459
57	519	8436
58	528	8430
59	536	8404
60	544	8389
61	553	8369
62	561	8353
63	570	8339
64	578	8323
65	586	8294
66	593	8268
67	601	8248
68	609	8223
69	618	8210
70	628	8221
71	638	8232
72	649	8251
73	657	8233
74	667	8232
75	675	8216
76	683	8197
77	692	8180
78	699	8152
79	707	8133
80	714	8112
81	723	8094
82	732	8092
83	743	8107
84	752	8099
85	762	8099
86	770	8090
87	778	8068
88	786	8053
89	794	8034
90	801	8010
91	809	7992
92	818	7982
93	827	7974
94	836	7970
95	845	7963
96	854	7951
97	861	7933
98	869	7911
99	878	7902
100	885	7885
101	894	7871
102	902	7858
103	911	7851
104	919	7834
105	929	7837
106	938	7829
107	946	7819
108	954	7805
109	965	7813
110	976	7820
111	984	7803
112	992	7788
113	1000	7775
114	1008	7758
115	1016	7748
116	1025	7738
117	1034	7730
118	1043	7726
119	1054	7731
120	1062	7719
121	1071	7711
122	1079	7697
123	1087	7684
124	1095	7666
125	1102	7650
126	1110	7631
127	1118	7618
128	1126	7609
129	1135	7596
130	1143	7584
131	1152	7579
132	1159	7560
133	1169	7556
134	1178	7552
135	1187	7541
136	1194	7527
137	1205	7531
138	1215	7530
139	1228	7547
140	1242	7570
141	1254	7582
142	1265	7583
143	1276	7585
144	1287	7591
145	1299	7600
146	1310	7602
147	1320	7604
148	1329	7594
149	1336	7576
150	1345	7562
151	1353	7550
152	1362	7542
153	1370	7531
154	1379	7520
155	1388	7510
156	1395	7493
157	1403	7478
158	1411	7464
159	1418	7449
160	1427	7438
