iter	RMSE
0	1.323837677
1	1.304407139
2	1.287175198
3	1.272680716
4	1.259730022
5	1.248734089
6	1.239225605
7	1.230862917
8	1.223433264
9	1.216610396
10	1.210845121
11	1.205273364
12	1.200835896
13	1.196681842
14	1.193427171
15	1.190375082
16	1.187535594
17	1.185131054
18	1.183145902
19	1.181357029
20	1.179626936
21	1.178287175
22	1.176964461
23	1.175780407
24	1.17468409
25	1.17375791
26	1.172789799
27	1.172085772
28	1.171364599
29	1.170786067
30	1.170168702
31	1.169622829
32	1.168988063
33	1.168299183
34	1.167666695
35	1.167227203
36	1.166715357
37	1.166222653
38	1.165906621
39	1.165687678
40	1.165239275
41	1.164815492
42	1.164469607
43	1.164168016
44	1.16392016
45	1.163523706
46	1.163123072
47	1.162850682
48	1.162526889
49	1.162324753
50	1.16203608
51	1.161855788
52	1.16162094
53	1.161379656
54	1.161157336
55	1.160929226
56	1.16070421
57	1.160406289
58	1.160116392
59	1.159936237
60	1.159781997
61	1.159579479
62	1.159309939
63	1.159164946
64	1.158984025
65	1.158805572
66	1.158625914
67	1.158375407
68	1.158256831
69	1.157981762
70	1.157807879
71	1.157621142
72	1.157450541
73	1.157241504
74	1.156988447
75	1.156762271
76	1.156576467
77	1.156299485
78	1.156112318
79	1.155890226
80	1.155680714
81	1.155547367
82	1.155296766
83	1.155112677
84	1.154902365
85	1.154716867
86	1.154480069
87	1.154353734
88	1.154073201
89	1.153782971
90	1.153601019
91	1.153439209
92	1.153279651
93	1.153173861
94	1.152998443
95	1.152721969
96	1.15249005
97	1.152276468
98	1.152076559
99	1.15200857
100	1.151875559
101	1.151714454
102	1.151570338
103	1.151478781
104	1.15128746
105	1.150995145
106	1.150870833
107	1.150656659
108	1.150518615
109	1.150390409
110	1.150218208
111	1.149975302
112	1.149788661
113	1.149547072
114	1.149504978
115	1.149336585
116	1.149259702
117	1.149047716
118	1.148978437
119	1.148803501
120	1.14864511
121	1.148542892
122	1.1483711
123	1.1482202
124	1.148080667
125	1.147925172
126	1.147694196
127	1.147607008
128	1.147410096
129	1.147167086
130	1.147105503
131	1.14697356
132	1.146871937
133	1.146830883
134	1.146651181
135	1.146520326
136	1.146427229
137	1.146242274
138	1.145980326
139	1.145848017
140	1.145648072
141	1.145572736
142	1.145424386
143	1.145177034
144	1.144994402
145	1.144933869
146	1.144719981
147	1.1445518
148	1.144315858
149	1.144184888
150	1.144079274
151	1.143901668
152	1.143778014
153	1.143577424
154	1.143415457
155	1.143253791
156	1.143076842
157	1.142839102
158	1.142660504
159	1.142451099
160	1.142275239
161	1.142010766
162	1.141815557
163	1.14160086
164	1.141387437
165	1.141218472
166	1.141034587
167	1.140867171
168	1.140682737
169	1.140461014
170	1.14031025
171	1.140186317
172	1.139956728
173	1.139660803
174	1.139495658
175	1.139389068
176	1.139189757
177	1.139061248
178	1.13887948
179	1.138866839
180	1.138723953
181	1.138611074
182	1.138358063
183	1.138153907
184	1.137994277
185	1.137763719
186	1.13764972
187	1.137486272
188	1.137236713
189	1.13704283
190	1.136836721
191	1.136638981
192	1.136521268
193	1.136358643
194	1.136093722
195	1.13587013
196	1.135738271
197	1.135589137
198	1.135425702
199	1.135313023
200	1.135174449
201	1.134980071
202	1.134755544
203	1.134551397
204	1.134384738
205	1.13416708
206	1.133957848
207	1.133759991
208	1.133438566
209	1.133326548
210	1.133213834
211	1.133061118
212	1.132875995
213	1.132724925
214	1.132537877
215	1.132413043
216	1.132247013
217	1.132028379
218	1.131886264
219	1.131722832
220	1.131544763
221	1.131344808
222	1.131217112
223	1.130999372
224	1.130785211
225	1.130612095
226	1.130456804
227	1.13028921
228	1.130094051
229	1.129889119
230	1.129761232
231	1.12956965
232	1.129369924
233	1.129219972
234	1.129083892
235	1.128881191
236	1.128683384
237	1.128552987
238	1.128431403
239	1.128422262
240	1.128248897
241	1.128135407
242	1.127957204
243	1.127802858
244	1.12758855
245	1.127388307
246	1.127232413
247	1.12704663
248	1.126885968
249	1.126739374
250	1.126646849
251	1.126509789
252	1.12626628
253	1.126072804
254	1.125876747
255	1.125743246
256	1.125550051
257	1.12541569
258	1.125220196
259	1.125084047
260	1.124905595
261	1.124790648
262	1.124622725
263	1.124612868
264	1.124466421
265	1.124310283
266	1.124113898
267	1.123983192
268	1.123872437
269	1.123830026
270	1.123658822
271	1.123493382
272	1.123251583
273	1.1230233
274	1.122863635
275	1.122754909
276	1.122623514
277	1.122428785
278	1.12230191
279	1.122095304
280	1.121877218
281	1.121708983
282	1.12156922
283	1.12141585
284	1.121198124
285	1.121090111
286	1.120960781
287	1.120764721
288	1.12052786
289	1.120519357
290	1.120375244
291	1.120222836
292	1.120021049
293	1.119851302
294	1.119798113
295	1.119645596
296	1.119514341
297	1.119343565
298	1.119179093
299	1.119014918
300	1.118839407
301	1.118716375
302	1.118529737
303	1.118344828
304	1.118168877
305	1.118095703
306	1.117963654
307	1.11781432
308	1.117674127
309	1.11746358
310	1.117346964
311	1.117204407
312	1.11698705
313	1.116819213
314	1.116707218
315	1.116629175
316	1.116483254
317	1.116344457
318	1.11617781
319	1.116024196
320	1.115809233
321	1.115661407
322	1.115462783
323	1.115264076
324	1.115101994
325	1.11493567
326	1.114830545
327	1.114625255
328	1.114439571
329	1.11432199
330	1.114211658
331	1.114074622
332	1.113975494
333	1.113828397
334	1.113644078
335	1.113496864
336	1.113357964
337	1.113259848
338	1.113131999
339	1.112990151
340	1.112833672
341	1.112693203
342	1.112524115
343	1.112367444
344	1.112239828
345	1.112234208
346	1.112091958
347	1.11192659
348	1.111754307
349	1.111611585
350	1.11140476
351	1.111233911
352	1.111114014
353	1.110997364
354	1.110832903
355	1.110708013
356	1.110541165
357	1.110326532
358	1.110164502
359	1.109990463
360	1.109835055
361	1.109695052
362	1.109579278
363	1.109576051
364	1.109438153
365	1.109274354
366	1.109129417
367	1.108974768
368	1.108849337
369	1.108721815
370	1.108580683
371	1.108452433
372	1.108306759
373	1.108301974
374	1.108122458
375	1.107993018
376	1.107838057
377	1.10769948
378	1.107599159
379	1.107424632
380	1.107255025
381	1.107147186
382	1.107002304
383	1.106822651
384	1.106667054
385	1.106524115
386	1.106384372
387	1.106253014
388	1.106134748
389	1.105971251
390	1.105831389
391	1.105601171
392	1.105435205
393	1.105344323
394	1.10516345
395	1.105019651
396	1.104803154
397	1.104680513
398	1.104531952
399	1.104433158
400	1.104305137
401	1.104163431
402	1.103970099
403	1.103799358
404	1.103690425
405	1.103529766
406	1.103385123
407	1.103248514
408	1.103120862
409	1.102996259
410	1.102857746
411	1.102733464
412	1.102537788
413	1.102428266
414	1.102261478
415	1.102118397
416	1.10197586
417	1.101840595
418	1.101691301
419	1.101500716
420	1.10140765
421	1.101319147
422	1.101224503
423	1.101078554
424	1.100939564
425	1.100786891
426	1.10067685
427	1.100545699
428	1.100385668
429	1.10021694
430	1.100015296
431	1.099889545
432	1.099745188
433	1.099581259
434	1.099442452
435	1.099297971
436	1.099211443
437	1.099058838
438	1.098958176
439	1.098817414
440	1.098651038
441	1.098476234
442	1.0983774
443	1.098220651
444	1.09812262
445	1.097981071
446	1.097977279
447	1.097736858
448	1.097607001
449	1.097480172
450	1.097315528
451	1.097185665
452	1.097017316
453	1.09691287
454	1.09678389
455	1.096617765
456	1.096417616
457	1.096241568
458	1.096109197
459	1.095964853
460	1.095886719
461	1.095766369
462	1.095585701
463	1.095484892
464	1.095317178
465	1.095197944
466	1.095070703
467	1.094908249
468	1.094783419
469	1.094650711
470	1.09452197
471	1.094431301
472	1.094341427
473	1.094215816
474	1.094033977
475	1.09389955
476	1.093792888
477	1.093685761
478	1.093541559
479	1.093376978
480	1.093272726
481	1.093156908
482	1.092977416
483	1.092773779
484	1.092657581
485	1.09253444
486	1.092398831
487	1.092266856
488	1.092098053
489	1.091960275
490	1.091810723
491	1.091704463
492	1.091603123
493	1.091434893
494	1.091305231
495	1.091188051
496	1.091083841
497	1.090933539
498	1.090793354
499	1.090634498
500	1.090483295
501	1.090272744
502	1.090163761
503	1.089994508
504	1.089874909
505	1.089750176
506	1.089615062
507	1.089610794
508	1.089606773
509	1.089366271
510	1.089218599
511	1.089084948
512	1.088957916
513	1.088846833
514	1.088721119
515	1.088590505
516	1.0884753
517	1.088335916
518	1.088203403
519	1.088060923
520	1.087956189
521	1.08782244
522	1.087728602
523	1.087626916
524	1.087450419
525	1.087279513
526	1.087117869
527	1.086991714
528	1.086876446
529	1.086749253
530	1.086646818
531	1.086545284
532	1.086426861
533	1.086313243
534	1.086202252
535	1.086073684
536	1.085929163
537	1.085926232
538	1.085787239
539	1.085609653
540	1.085499206
541	1.085415864
542	1.085266981
543	1.08518287
544	1.085080679
545	1.084962276
546	1.084828637
547	1.084704691
548	1.084544537
549	1.084356994
550	1.084236685
551	1.084097578
552	1.083947916
553	1.083782311
554	1.083657488
555	1.08349536
556	1.083401173
557	1.083288102
558	1.083092248
559	1.082939696
560	1.082821292
561	1.082746372
562	1.082649808
563	1.082470365
564	1.082277856
565	1.082114132
566	1.082110379
567	1.081992858
568	1.081908841
