iter	Passed	Remaining
0	87	86976
1	89	44524
2	91	30396
3	93	23245
4	95	19033
5	97	16196
6	99	14153
7	101	12609
8	103	11439
9	105	10472
10	107	9706
11	110	9100
12	112	8555
13	114	8089
14	116	7670
15	118	7304
16	121	7006
17	123	6755
18	126	6524
19	128	6313
20	130	6094
21	132	5904
22	134	5730
23	137	5573
24	138	5420
25	141	5302
26	143	5175
27	145	5050
28	147	4938
29	150	4856
30	153	4784
31	154	4685
32	156	4598
33	159	4528
34	161	4451
35	163	4380
36	165	4317
37	168	4253
38	169	4187
39	171	4127
40	174	4083
41	176	4029
42	178	3973
43	180	3924
44	183	3883
45	185	3839
46	187	3793
47	189	3750
48	191	3708
49	193	3677
50	195	3638
51	197	3605
52	200	3579
53	202	3549
54	204	3515
55	207	3499
56	209	3465
57	211	3436
58	216	3448
59	219	3433
60	221	3407
61	224	3389
62	226	3362
63	227	3330
64	230	3311
65	232	3287
66	234	3263
67	236	3236
68	238	3219
69	240	3200
70	242	3175
71	244	3156
72	247	3148
73	250	3131
74	252	3108
75	254	3094
76	257	3082
77	259	3062
78	261	3044
79	263	3027
80	265	3016
81	267	2996
82	269	2981
83	272	2968
84	274	2952
85	276	2936
86	278	2925
87	280	2908
88	282	2893
89	284	2878
90	286	2865
91	288	2851
92	291	2839
93	292	2823
94	295	2810
95	300	2832
96	302	2819
97	305	2807
98	307	2795
99	308	2780
100	311	2775
101	314	2767
102	316	2756
103	318	2748
104	322	2748
105	325	2747
106	328	2743
107	331	2742
108	335	2739
109	338	2739
110	341	2733
111	344	2735
112	348	2734
113	351	2731
114	354	2729
115	357	2725
116	361	2724
117	364	2723
118	369	2735
119	373	2737
120	376	2737
121	380	2739
122	383	2737
123	387	2739
124	390	2734
125	393	2728
126	396	2728
127	400	2727
128	404	2730
129	407	2725
130	409	2719
131	413	2716
132	415	2709
133	418	2707
134	422	2707
135	425	2704
136	429	2703
137	432	2699
138	435	2699
139	438	2693
140	440	2685
141	443	2679
142	447	2680
143	449	2674
144	454	2677
145	456	2672
146	459	2668
147	463	2665
148	466	2661
149	468	2656
150	471	2650
151	474	2649
152	477	2643
153	480	2638
154	483	2633
155	486	2630
156	489	2626
157	492	2622
158	495	2620
159	498	2616
160	501	2614
161	504	2612
162	507	2608
163	511	2606
164	514	2601
165	517	2597
166	520	2595
167	523	2591
168	526	2587
169	529	2585
170	532	2581
171	535	2578
172	538	2573
173	544	2584
174	547	2581
175	550	2578
176	553	2575
177	556	2571
178	559	2568
179	562	2562
180	565	2558
181	568	2556
182	571	2552
183	574	2549
184	578	2549
185	582	2548
186	585	2547
187	588	2543
188	592	2543
189	598	2551
190	602	2553
191	606	2551
192	609	2550
193	613	2548
194	617	2548
195	620	2544
196	624	2543
197	627	2539
198	629	2535
199	633	2535
200	637	2534
201	643	2543
202	648	2544
203	651	2543
204	656	2544
205	660	2544
206	664	2544
207	667	2542
208	670	2539
209	674	2536
210	680	2543
211	684	2544
212	688	2543
213	691	2540
214	695	2538
215	702	2549
216	706	2547
217	709	2545
218	712	2541
219	715	2536
220	718	2533
221	722	2531
222	725	2527
223	728	2524
224	732	2523
225	735	2519
226	739	2518
227	742	2514
228	746	2512
229	749	2509
230	753	2507
231	757	2506
232	761	2506
233	765	2506
234	768	2501
235	771	2496
236	774	2492
237	777	2489
238	780	2486
239	783	2481
240	786	2477
241	790	2475
242	793	2471
243	796	2468
244	799	2463
245	802	2460
246	806	2457
247	808	2452
248	811	2447
249	814	2444
250	817	2440
251	820	2436
252	823	2431
253	826	2428
254	830	2426
255	834	2426
256	838	2424
257	842	2422
258	846	2422
259	849	2418
260	853	2417
261	857	2414
262	859	2409
263	862	2405
264	866	2402
265	869	2399
266	872	2395
267	875	2391
268	878	2387
269	882	2386
270	885	2383
271	888	2376
272	891	2374
273	895	2372
274	899	2370
275	902	2367
276	905	2363
277	909	2360
278	912	2358
279	916	2356
280	920	2354
281	923	2350
282	927	2349
283	931	2347
284	935	2346
285	939	2344
286	942	2341
287	946	2340
288	950	2337
289	952	2332
290	956	2329
291	959	2327
292	962	2323
293	966	2321
294	969	2316
295	973	2315
296	979	2317
297	983	2316
298	986	2313
299	990	2310
300	993	2306
301	996	2302
302	999	2299
303	1002	2296
304	1006	2292
305	1008	2287
306	1011	2283
307	1014	2279
308	1017	2275
309	1020	2271
310	1023	2267
311	1026	2263
312	1032	2265
313	1035	2262
314	1038	2258
315	1041	2253
316	1044	2249
317	1046	2244
318	1049	2239
319	1052	2235
320	1054	2231
321	1058	2227
322	1061	2224
323	1064	2220
324	1067	2216
325	1070	2213
326	1073	2209
327	1076	2206
328	1080	2203
329	1083	2200
330	1086	2196
331	1089	2192
332	1092	2189
333	1095	2185
334	1098	2179
335	1101	2176
336	1104	2172
337	1107	2168
338	1110	2164
339	1113	2161
340	1117	2160
341	1121	2156
342	1127	2160
343	1131	2157
344	1134	2154
345	1138	2152
346	1143	2151
347	1146	2148
348	1150	2146
349	1154	2144
350	1160	2144
351	1165	2146
352	1170	2145
353	1174	2144
354	1178	2141
355	1182	2138
356	1186	2137
357	1190	2134
358	1193	2131
359	1196	2127
360	1200	2125
361	1203	2121
362	1208	2120
363	1211	2116
364	1215	2114
365	1219	2112
366	1223	2109
367	1226	2106
368	1229	2103
369	1233	2100
370	1236	2096
371	1241	2096
372	1245	2093
373	1249	2091
374	1252	2088
375	1256	2085
376	1259	2082
377	1264	2080
378	1267	2077
379	1270	2073
380	1275	2071
381	1278	2067
382	1282	2065
383	1285	2062
384	1289	2059
385	1293	2057
386	1297	2055
387	1301	2052
388	1305	2049
389	1308	2047
390	1313	2045
391	1317	2043
392	1321	2040
393	1325	2038
394	1328	2035
395	1332	2031
396	1335	2027
397	1339	2025
398	1342	2022
399	1346	2019
400	1349	2015
401	1352	2011
402	1357	2010
403	1361	2008
404	1364	2005
405	1368	2001
406	1372	2000
407	1377	1998
408	1382	1997
409	1387	1996
410	1391	1993
411	1395	1991
412	1399	1988
413	1402	1985
414	1406	1982
415	1410	1980
416	1414	1977
417	1418	1975
418	1425	1976
419	1429	1973
420	1432	1970
421	1436	1967
422	1439	1964
423	1444	1962
424	1448	1960
425	1455	1960
426	1461	1960
427	1469	1964
428	1476	1965
429	1486	1970
430	1490	1967
431	1493	1963
432	1496	1960
433	1500	1956
434	1504	1953
435	1507	1950
436	1512	1948
437	1515	1944
438	1519	1941
439	1523	1938
440	1528	1937
441	1532	1934
442	1537	1932
443	1541	1930
444	1545	1927
445	1548	1924
446	1551	1919
447	1555	1917
448	1559	1913
449	1562	1910
450	1566	1907
451	1570	1903
452	1573	1900
453	1577	1896
454	1580	1892
455	1584	1889
456	1587	1886
457	1591	1883
458	1595	1880
459	1599	1877
460	1603	1874
461	1608	1873
462	1612	1870
463	1616	1867
464	1620	1864
465	1623	1860
466	1629	1859
467	1632	1855
468	1636	1852
469	1640	1849
470	1643	1845
471	1646	1842
472	1650	1838
473	1653	1834
474	1657	1832
475	1661	1828
476	1664	1825
477	1668	1821
478	1671	1818
479	1675	1815
480	1679	1812
481	1683	1808
482	1686	1805
483	1690	1802
484	1694	1798
485	1697	1795
486	1700	1790
487	1703	1786
488	1705	1782
489	1708	1778
490	1712	1774
491	1717	1773
492	1721	1769
493	1724	1766
494	1726	1761
495	1729	1757
496	1732	1753
497	1736	1749
498	1739	1746
499	1742	1742
500	1745	1738
501	1749	1735
502	1752	1731
503	1755	1727
504	1758	1723
505	1762	1720
506	1765	1717
507	1768	1712
508	1770	1708
509	1774	1705
510	1782	1705
511	1786	1703
512	1790	1699
513	1794	1696
514	1797	1692
515	1800	1688
516	1802	1684
517	1805	1680
518	1809	1676
519	1812	1673
520	1816	1670
521	1819	1666
522	1824	1664
523	1827	1660
524	1830	1655
525	1833	1652
526	1836	1648
527	1839	1643
528	1842	1640
529	1845	1636
530	1848	1632
531	1851	1628
532	1854	1624
533	1858	1621
534	1862	1618
535	1865	1615
536	1869	1611
537	1872	1607
538	1876	1604
539	1878	1600
540	1881	1596
541	1884	1592
542	1887	1588
543	1891	1585
544	1894	1581
545	1897	1577
546	1900	1574
547	1903	1570
548	1907	1566
549	1911	1563
550	1916	1561
551	1920	1558
552	1924	1555
553	1928	1552
554	1932	1549
555	1935	1545
556	1938	1541
557	1941	1537
558	1944	1534
559	1948	1530
560	1950	1526
561	1953	1522
562	1956	1518
563	1960	1515
564	1964	1512
565	1968	1509
566	1971	1505
567	1974	1502
568	1978	1498
569	1981	1494
570	1984	1491
571	1988	1487
572	1991	1484
573	1997	1482
574	2003	1480
575	2007	1477
576	2010	1474
577	2013	1470
578	2017	1466
579	2020	1463
580	2024	1459
581	2028	1456
582	2031	1453
583	2034	1449
584	2039	1446
585	2042	1442
586	2046	1439
587	2050	1436
588	2054	1433
589	2058	1430
590	2062	1427
591	2067	1424
592	2071	1421
593	2074	1418
594	2078	1415
595	2082	1411
596	2086	1408
597	2089	1404
598	2093	1401
599	2096	1397
600	2100	1394
601	2104	1391
602	2108	1387
603	2112	1384
604	2119	1384
605	2123	1380
606	2126	1377
607	2130	1373
608	2133	1369
609	2137	1366
610	2140	1362
611	2143	1359
612	2147	1355
613	2150	1351
614	2154	1348
615	2157	1345
616	2161	1341
617	2165	1338
618	2171	1336
619	2179	1336
620	2184	1333
621	2188	1329
622	2192	1326
623	2196	1323
624	2200	1320
625	2204	1317
626	2208	1313
627	2212	1310
628	2217	1307
629	2220	1303
630	2224	1300
631	2227	1297
632	2233	1294
633	2237	1291
634	2242	1288
635	2247	1286
636	2250	1282
637	2254	1279
638	2258	1275
639	2262	1272
640	2266	1269
641	2271	1266
642	2275	1263
643	2279	1260
644	2284	1257
645	2290	1255
646	2296	1252
647	2303	1251
648	2308	1248
649	2313	1245
650	2316	1241
651	2320	1238
652	2324	1235
653	2328	1231
654	2331	1228
655	2335	1224
656	2339	1221
657	2342	1217
658	2346	1214
659	2348	1210
660	2351	1206
661	2354	1202
662	2357	1198
